user_id,view,cart,remove_from_cart,purchase
331496445,,2.0,,
331582832,2.0,,,
331631290,2.0,,,
332020275,1.0,,,
332036191,1.0,,1.0,
332871309,1.0,,,
333006671,1.0,,,
333225164,3.0,,,
333471783,1.0,,,
333486001,3.0,,,
333568626,1.0,,,
333614131,1.0,,,
333711174,2.0,1.0,,1.0
333883623,2.0,1.0,,1.0
333971459,1.0,,,
334175417,1.0,1.0,,1.0
334609431,1.0,,,
334644185,,,1.0,
334705236,1.0,,,
334778938,,1.0,,
335382205,,1.0,,
335451970,2.0,,,
335806792,,1.0,,
336074762,1.0,,,
336089951,1.0,1.0,,
336160869,1.0,1.0,,1.0
336208336,3.0,1.0,,
336563831,1.0,1.0,,1.0
336705649,1.0,,,
337040400,,,2.0,
337086347,2.0,1.0,,
337154942,1.0,,,
337259840,2.0,,,
337471073,1.0,,,
337588442,1.0,,,
338003080,1.0,,,
338199989,1.0,,,
338577465,2.0,1.0,,
338861331,1.0,1.0,,
338975193,1.0,,,
339277635,1.0,,,
339422288,,1.0,1.0,
339551433,3.0,1.0,1.0,
339718603,,,1.0,
339736276,2.0,,,
339892978,,2.0,,1.0
340046613,2.0,,,
340081041,3.0,2.0,1.0,
340122506,1.0,,,
340250603,,1.0,,1.0
340559076,1.0,,,
340751060,1.0,1.0,1.0,
341067937,,1.0,,
341486889,1.0,,,
341719988,3.0,,,
341841196,1.0,,,
341847777,1.0,3.0,,
341851959,,1.0,,
342098975,3.0,,,
342104108,3.0,,,
342173776,1.0,,,
342344356,1.0,1.0,2.0,
342507021,,1.0,,
342650371,2.0,,,
342656718,1.0,,,
343017356,3.0,,,
343148069,,1.0,1.0,
343247862,2.0,1.0,1.0,1.0
343368397,1.0,,,
343414451,1.0,,,
343440907,1.0,2.0,1.0,
343482065,,3.0,2.0,1.0
343590662,,1.0,,
343646883,1.0,,,
343802692,,1.0,,
343867463,1.0,,,
343932222,5.0,,,1.0
343979312,2.0,1.0,1.0,
344006909,7.0,1.0,1.0,1.0
344024750,1.0,,,
344196230,1.0,,,
344248060,1.0,,,
344274261,1.0,,,
344300498,,1.0,,1.0
344716411,1.0,,,
344864724,1.0,,,
344911249,1.0,,,
345081421,1.0,,,
345229156,,2.0,2.0,
345358898,1.0,,,
345376280,,1.0,,
345391391,,1.0,,1.0
345448405,,1.0,,
345475088,2.0,,,
345543970,1.0,,,
345563465,,2.0,,
345724898,2.0,,,
345725697,1.0,1.0,,1.0
345931397,1.0,,,
346019374,1.0,,,
346666443,2.0,,,
346867946,1.0,1.0,,1.0
347014894,1.0,,,
347044548,1.0,,,
347220395,,,2.0,
347464732,2.0,,,
347489126,2.0,,,
347613432,,2.0,1.0,1.0
347624485,,1.0,,
347633566,,1.0,,
347638803,1.0,,,
347688744,4.0,1.0,,1.0
347774688,1.0,,,
347832402,1.0,,,
347886759,1.0,,,
347968684,1.0,,,
348066637,,1.0,,1.0
348210785,1.0,,,
348353921,,,1.0,
348366467,5.0,1.0,,1.0
348604519,2.0,,,
348915552,1.0,,,
349016508,1.0,,,
349078372,15.0,,,
349147371,,1.0,,1.0
349366539,1.0,,,
349390909,,2.0,,1.0
349460755,,1.0,1.0,1.0
349647309,1.0,,,
349838489,1.0,,,
349911292,2.0,,,1.0
349960733,1.0,,,
350046190,1.0,,,
350128412,,1.0,1.0,
350213627,1.0,,,
350223774,,,,1.0
350381966,2.0,,,
350383950,,1.0,,
350534758,1.0,,,
350540374,1.0,1.0,1.0,
350589423,2.0,2.0,1.0,
350632472,2.0,1.0,,
350820725,2.0,,,
351066656,1.0,,,
351146484,,,1.0,
351274588,,1.0,,
351343494,1.0,,,
351476135,1.0,,,
351503888,1.0,1.0,1.0,1.0
351514325,1.0,,,
351608925,1.0,,,
351646176,,1.0,,1.0
351792549,1.0,1.0,,
351803341,,1.0,,
351831016,6.0,,,
351945918,,1.0,1.0,
351958444,,,1.0,
351992059,2.0,,,1.0
352048980,,2.0,1.0,
352282604,2.0,,,
352297024,,,1.0,
352344925,1.0,,,
352374480,,1.0,,
352520373,1.0,,,
352524410,1.0,1.0,1.0,
352618782,,,1.0,
352718923,1.0,,,
352936378,1.0,,,
353047696,1.0,1.0,,
353143808,,1.0,,
353150917,2.0,,,
353307417,1.0,,,
353352706,,1.0,,1.0
353444247,,,1.0,
353449404,,1.0,1.0,
353614231,3.0,4.0,,1.0
353765082,2.0,,,
353768566,1.0,,,
353793772,1.0,,,
353971370,2.0,,,
354196108,10.0,2.0,2.0,
354336206,1.0,,,
354355083,1.0,1.0,1.0,
354371889,2.0,,,
354493997,,1.0,,1.0
354619388,1.0,,,
354787523,1.0,,,
354843877,,1.0,1.0,
354851561,8.0,3.0,3.0,
354851927,2.0,2.0,1.0,
355158503,1.0,,,
355296797,,1.0,,
355554348,1.0,1.0,,
355870872,1.0,,,
355916866,1.0,,,
355974019,1.0,,2.0,
356176639,2.0,,,
356297357,1.0,,,
356465638,1.0,,,
356576393,1.0,,,
356639759,1.0,1.0,,1.0
356645168,1.0,1.0,,
356791972,4.0,2.0,1.0,
357017096,2.0,,,
357089447,1.0,1.0,,
357160467,,1.0,2.0,
357186630,,1.0,,1.0
357297135,1.0,,,
357384521,1.0,,,
357521203,1.0,,,
357601656,2.0,1.0,1.0,
357660201,1.0,,,
357675693,1.0,,,
357904478,,2.0,1.0,1.0
358119438,1.0,,,
358193179,1.0,,,
358267333,2.0,,,
358337316,1.0,,,
358418130,,1.0,,
358436874,,1.0,1.0,
358443594,1.0,,,
358455926,2.0,2.0,,2.0
358751080,2.0,,,
358881381,1.0,,,
359055550,1.0,,,
359106562,1.0,,,
359107263,2.0,2.0,1.0,
359251879,1.0,,,
359375270,,3.0,1.0,
359439499,1.0,,,
359883737,2.0,,,
360048087,1.0,1.0,,
360161209,1.0,1.0,,
360324261,1.0,1.0,1.0,
360338412,3.0,4.0,1.0,2.0
360391038,2.0,,,
360566375,1.0,,,
360699245,1.0,,,
360720207,2.0,,,
360849391,1.0,,,
360868076,1.0,,,
360934047,1.0,,,
361085703,,,1.0,1.0
361188745,1.0,1.0,,1.0
361401573,,1.0,,
361619482,1.0,1.0,,
361786344,,1.0,,
361871885,1.0,,,
361939702,,1.0,,
361963456,,,1.0,
361964084,1.0,,,
362359972,1.0,1.0,,
362370755,1.0,,,
362589210,2.0,2.0,,
362589406,1.0,,,
362616189,1.0,1.0,,
362887426,1.0,,,
363078183,1.0,,,
363117096,1.0,,,
363397981,1.0,2.0,,1.0
363491727,3.0,1.0,1.0,
363952768,3.0,,,
364227308,,1.0,1.0,
364234282,1.0,1.0,,
364343125,6.0,3.0,,
364452232,1.0,,,
364547750,4.0,,,
364741689,3.0,,,
364754136,1.0,,,
364774072,1.0,,,
364795415,1.0,,,
364809182,3.0,1.0,1.0,
364846676,3.0,2.0,1.0,1.0
364908765,2.0,,,
365011234,2.0,,,
365088415,2.0,,,
365109552,1.0,,,
365250969,1.0,,,
365291559,1.0,1.0,,
365374305,2.0,1.0,,
365406554,1.0,,,
365469300,1.0,,,
365524701,1.0,,,
365624933,1.0,,,
365686509,1.0,,,
365699666,1.0,,,
365785546,4.0,,,
365957766,1.0,,,
366020330,1.0,2.0,,
366057643,1.0,,,
366275135,2.0,,,
366526919,2.0,,,
366873876,1.0,,,
366897911,,1.0,1.0,
367044117,1.0,,,
